属性名,范围
姓名,"['王强', '李娟', '张伟', '刘洋', '赵敏', '孙磊', '周涛', '吴静', '陈艳', '郭丽', '王磊', '李娜', '张勇', '刘芳', '赵刚', '王小华', '李晓明', '张志伟', '刘海燕', '赵立新', '孙洪波', '周家豪', '吴文静', '陈思敏', '郭丽娟', '王志强', '李建国', '张国伟', '刘晓燕', '赵立冬', '孙艳华', '周宏伟', '吴志刚', '陈慧敏', '郭志勇', '王晓磊', '李国强', '张海燕', '刘立新', '赵建国', '孙国伟', '周晓燕', '吴丽娟', '陈志勇', '郭晓磊', '王国强', '李海娟', '张立新', '刘建国', '赵国伟']"
性别,"['男性', '女性']"
年龄,None
身高,None
生日,None
家乡,"['山东济南', '广东广州', '江苏南京', '浙江杭州', '福建福州', '河南郑州', '湖北武汉', '湖南长沙', '四川成都', '重庆', '北京', '上海', '天津', '河北石家庄', '山西太原', '辽宁沈阳', '吉林长春', '黑龙江哈尔滨', '江西南昌', '安徽合肥', '江苏苏州', '浙江宁波', '福建厦门', '山东青岛', '广东深圳']"
工作地,"['北京', '上海', '广东广州',  '广东深圳', '江苏南京', '浙江杭州', '山东青岛']"
教育背景,"['本科', '硕士', '博士', '专科', '高中']"
职业,"['医生', '教师', '工程师', '律师', '警察', '护士', '厨师', '程序员', '销售人员', '会计', '银行柜员', '设计师', '记者', '快递员', '建筑工人', '翻译员']"
职位,None
单位名称,None
兴趣爱好,"['阅读', '旅游', '运动', '听音乐', '看电影', '绘画', '摄影', '舞蹈', '瑜伽', '健身', '美食烹饪', '园艺', '手工艺', '模型制作', '集邮', '跑步', '自行车骑行', '游泳', '登山', '攀岩', '钓鱼', '打高尔夫球', '下棋', '玩电子游戏', '编程', '学习外语', '写作', '书法', '戏剧', '听音乐会']"
性格,"['乐观', '内向', '热情', '耐心', '外向']"
联系电话,"['198', '155', '134', '136', '185', '132', '184', '153']"
邮箱地址,None
身份证号码,None
护照号码,None
银行卡号码,"['622126', '622202', '622848', '622908', '622168', '622384', '622588', '622155', '622666', '622925']"
驾驶证号码,None
亲属关系,"['父亲', '母亲', '表哥', '表姐', '表弟', '表妹', '叔叔', '婶婶', '舅舅', '舅妈']"
同事关系,"['上司', '下属', '同事']"
工作事件类型,"['商业会议', '职业培训', '招聘会', '产品发布会', '行业交流会', '公司团建', '年终总结大会', '项目启动会', '学术交流会', '创新研讨会']"
工作事件名称,None
休闲事件类型,"['旅行', '阅读', '看电影', '健身', '美食节', '音乐会', '艺术展览', '朋友聚会', '逛街购物', '户外徒步']"
休闲事件名称,None
主要内容,None
地点,None
时间,None
规模,"['十人', '百人', '千人']"
持续时间,"['天', '周', '月']"
物品关系,"['喜欢', '拥有', '使用']"
物品类型,"['手机', '家电', '美妆', '运动鞋']"
手机,"['苹果iPhone 13', '苹果iPhone 14', '华为Mate 60', '华为P50', '小米11', '小米12', 'OPPO Reno7', 'OPPO Find X3']"
家电,"['小米电视4A', '格力空调', '海尔冰箱', '美的电饭煲', '西门子洗衣机', '松下空气净化器', '索尼电视', '博世洗碗机', 'LG双门冰箱', '戴森吸尘器']"
美妆,"['兰蔻奇迹香水', '雅诗兰黛小棕瓶', '魅可子弹头唇膏', '迪奥真我香水', '魅可矿质柔润遮瑕膏', '倩碧特效润肤露', '资生堂红妍肌活精华液', 'SK-II护肤精华露', '雅漾舒护活泉水喷雾', '欧莱雅奇焕润发精油']"
运动鞋,"['耐克Air Zoom Pegasus', '阿迪达斯UltraBoost', '锐步Floatride Run Fast', '新百伦Fresh Foam 1080v10', '亚瑟士Gel-Kayano 26', '安德玛Curry 7', '彪马Jam Spark', '斯凯奇Go Walk 5', '乔丹Air Jordan XXXV', '匡威Chuck Taylor All Star']"
地点关系,"['居住', '参观', '路过']"
地点类型,"['小区', '公园', '商场', '医院', '景区']"
小区,"['阳光小区', '绿洲家园', '世纪花园', '锦绣江南', '幸福家园', '金色家园', '龙湖小区', '紫荆花园', '万科城', '保利社区']"
公园,"['深圳湾公园', '莲花山公园', '东湖公园', '笔架山公园', '洪湖公园', '中心公园', '荔枝公园', '人民公园', '儿童公园', '园博园']"
商场,"['万达广场', '大悦城', '恒隆广场', '银泰百货', '万象城', '印象城', '大润发']"
医院,"['人民医院', '中医院', '妇幼保健院', '肿瘤医院', '口腔医院', '眼科医院', '胸科医院', '骨科医院', '皮肤病医院', '精神卫生中心']"
景区,"['欢乐谷', '世界之窗', '民俗文化村', '华侨城', '海洋世界', '野生动物园', '欢乐海岸', '海滨公园']"
